,actuals,Pred,mape
2240,1040781.7953593384,1019092.2925113942,2.0839625505224824
4253,1445804.8316514797,1425228.552029362,1.423171314112595
4263,1564563.5680690026,1735775.418683513,10.943106059015651
57,1186688.505938349,1006826.9747175463,15.156591668390776
4788,1844929.155576244,1523691.7744122231,17.41190875503758
3610,1022342.573636082,1102941.626525952,7.883761761305701
3351,1148563.9035814921,1077370.2267505592,6.198495060565142
3530,763093.2314231284,660500.762019908,13.444290314551843
4962,1955253.711458321,2031575.5851137862,3.903425586572124
794,1675557.2712307854,1804366.4012666289,7.68753967694738
4549,1003701.0495827476,1011221.416088725,0.7492635889046513
1887,978241.2890513649,1023536.6270233025,4.630282781854577
2137,1246015.2968581112,1027056.5700232652,17.57271579144824
3104,1935831.0390568047,1887113.4706845777,2.516622958786924
2298,973068.5570349528,969643.6973011624,0.351964895898632
2646,1602903.280708731,1565498.4205575231,2.333569380098158
2322,1224778.6227969723,1216339.9445169466,0.6889962090254881
2796,1721261.81159612,1490831.935302251,13.387264781073146
1264,1899948.0591423784,1732374.6144209784,8.819896097424968
774,1541186.2541089894,1498409.314354633,2.775585341506122
2895,1063206.3779510346,1038151.923494779,2.356499638813247
4991,1263720.5178567779,1196916.7498900918,5.286277070185005
4605,957806.002679502,985189.5256489022,2.858984271636805
1164,1001876.6061552516,843710.7142305053,15.786963280010635
3698,1948654.9355364973,1862653.8582901033,4.413355883488755
2954,1457755.979317714,1504299.6534017604,3.192830264076888
1115,874969.6968663778,824017.4433820825,5.823316357900858
1071,945981.5296322836,956848.7000070587,1.1487719405049373
1811,992053.0502238964,1017291.3648915002,2.5440488955613594
311,1066659.3829883514,1181205.0976482732,10.738734078259426
4914,1261761.2309397706,1388220.385012725,10.022431421416115
4262,1267714.1492267174,1333995.734949655,5.2284330630346005
1425,1395855.656281703,1360635.3592111124,2.5232048107617944
1227,1318681.0401821504,1360672.7714048913,3.1843736235822795
2199,554253.0540102996,756567.3491541152,36.50215252400864
1662,1114729.7245235315,1325956.343339073,18.948684525823158
4987,1197073.4448150082,1036063.386013058,13.4503074560168
1634,1765352.365907112,1529001.1055868617,13.388333393645354
65,858685.5659249562,844096.483362264,1.6990017232882224
4196,1079408.5949822334,1073178.8946155538,0.5771401483774656
533,1245400.955310805,1211269.1871172953,2.74062486044839
2218,1173201.5189552563,1129980.2781491377,3.6840423497411923
3718,1454834.9824772594,1397611.4963198788,3.933331741854439
88,1637259.9986677852,1577216.9159858478,3.6672906398979737
3878,1560805.0707927227,1563618.479679742,0.18025369981596973
612,1409033.070887529,1457833.470212719,3.4633963058405173
1305,934111.6355005292,970159.779128354,3.859083032244749
1479,1453312.4679297975,1417807.334848341,2.4430488188154387
4137,1016871.4149142244,967128.6852457416,4.891742351974631
4284,1196254.1180677335,1278316.9326721327,6.859981785220719
3888,806255.875632613,855370.4414796233,6.0916847035035335
1274,1237246.1448766096,1355545.1462471168,9.561476660111577
2424,1473540.7599385441,1456383.4284595563,1.164360833812523
2254,1113856.5433985677,1095034.3261867738,1.6898241809815164
454,1010813.7090555576,1131913.6408362775,11.980440183569359
2301,1233205.1955834178,1241156.7730561374,0.6447894884969066
3229,1940933.4724160559,2127798.508723936,9.627585847920503
4511,1555510.3797599026,1472717.897106111,5.3225284595382
2196,1535152.0737169122,1714933.188865454,11.710964550453655
2573,847387.2057853508,872076.4312177273,2.9135707105106388
3546,1166336.2592978398,1073554.6816439051,7.954959550840962
3914,646248.1833677717,672088.1598531008,3.998460212401695
4312,1483808.3368306719,1224934.4062224212,17.446588227236294
2489,1322914.0511137214,1455971.8173061265,10.057929771052601
4586,1523801.7483130025,1517786.4338441198,0.3947570263351047
1584,1396401.0215001123,1387202.6283639618,0.6587214556939291
4499,1581817.4067967194,1507652.4860454514,4.6885892412485655
2683,1572099.689856232,1655598.4304721039,5.311287900801501
1885,1269811.089152703,1074964.5159836547,15.344532335046953
18,1019425.9367578316,1136025.8333719424,11.437799688022803
2746,862407.8170122284,820694.6254709456,4.83682901736631
2734,1822987.8197245803,1862759.6632331535,2.1816845443642094
3089,353240.05467269185,428647.81123678107,21.347453542311666
496,1365081.1775398466,1282249.509591064,6.067893200173059
4812,785399.1395370425,825857.963154411,5.151371013879278
4754,874572.162682988,952368.6485177511,8.895376408517427
1120,1147313.019816137,1084517.540061852,5.473264808269
1654,1502447.916728789,1721721.8811278231,14.594446966018584
4543,1326846.6987356965,1329379.991728074,0.19092582396981528
1708,1140579.6178930926,1247838.8525365419,9.403923493002731
806,1380715.3150239568,1269193.9641233785,8.077070608769434
3343,1188196.881911283,1098614.2872953652,7.539372975951503
1690,1102943.3514449215,966828.9326523324,12.34101630099779
2172,1649947.1597520178,1698793.1761147836,2.960459434961979
3985,1518787.7610306498,1717738.9299542448,13.099339751631042
1168,1508198.6717552186,1390849.2388502834,7.780767554208606
365,1214482.378653457,1040679.9546150914,14.310823038129783
1767,1181338.1609886792,1091316.9684521202,7.620272967498054
2482,1429529.6303333663,1420024.01741751,0.6649468968082592
3778,1761960.5686365997,1748811.2646899298,0.7462882076211733
37,1081150.1254838074,1165111.1686492283,7.765900515235928
3055,1883469.2435416763,1763315.8596182512,6.379365329984823
1137,1282258.0932930836,1213366.5779972426,5.372671512559103
4338,1565151.54520208,1496909.0887832404,4.3601181385939585
1507,857762.316993493,767238.2536695986,10.553513663457089
3130,1051230.000578397,997100.8950512661,5.149121076962085
3875,1820189.5328040929,1736675.0792738171,4.588228424850764
1346,1035125.8566511944,1175943.2025136584,13.6038864218919
2215,1002690.8993032306,1090504.2955693356,8.757773340430884
1843,1712929.6543371202,1775258.0517275212,3.638701521255477
1561,1584439.7128321175,1587903.854642828,0.2186351290399392
3225,1128906.3392210985,1120726.7680251184,0.7245571144213483
1345,1385783.5170925185,1397662.7274096524,0.8572197728298451
431,1439714.2805609994,1219208.6105684354,15.315932679826009
2371,1166925.1461488248,1076519.2767199273,7.747358065533325
4370,1506798.7549083137,1360518.1833252627,9.708036398792482
2380,1409762.1194903015,1481913.7965556812,5.118003673659928
4737,1798521.604522182,1734980.5831715101,3.532958469384241
581,2084883.7904024213,1976679.0626517478,5.189964459831495
3140,1397461.5525224116,1380153.6393526252,1.2385251772076042
2414,1076334.1025455322,929233.5226997952,13.666814002998123
2428,959243.6084487293,858878.4231695882,10.462950641021184
4694,1910484.642346804,1849097.235537991,3.2131850446809116
4434,1085103.002972052,1181529.820076677,8.88642062924128
296,984311.774539692,959277.144024122,2.543363918132265
364,1048350.6918200088,1004653.2535932427,4.168208078434548
2650,969323.4858200226,993664.2766693989,2.511111224008418
39,302355.83597895555,92819.10865051346,69.30136693079282
4648,1147442.9517715028,1325929.091484229,15.555121013830519
4799,775325.9162762914,702292.9275025525,9.419650142033067
697,1176021.3754618713,1232607.3173540132,4.811642294334859
3256,1184799.2714969371,1020940.0629501645,13.830124012461987
3810,1320897.0134556554,1308989.3423976758,0.9014836839419756
2860,839629.5121744731,887546.2180831931,5.7068868130451005
2314,946182.0501766272,1018575.6412920165,7.651127085096919
2102,1813555.3299392925,1819752.4881549953,0.34171321455685555
2092,449331.5835333807,550645.3346436303,22.547658527262872
3085,1708102.1023987215,1647511.513153837,3.5472463361409066
4125,813726.113831596,726867.1127498387,10.674230506473961
3641,1431386.814465111,1510083.201572407,5.4979119768337315
4394,1043548.6091084076,1189859.728434259,14.02053704530903
355,2249122.541335193,2181759.748069253,2.995069945186277
3301,1890056.385193676,1826604.0794284102,3.3571646995475115
1814,795082.8101752147,846569.9240877447,6.475691997564838
4395,646198.2245230615,656770.122538981,1.6360147110775916
667,1891949.3478333612,1795202.5512700956,5.1136039489671825
1835,1538401.8172936328,1249888.7518067271,18.75407726665715
205,960808.291081754,1052578.825260438,9.55138866207758
248,841122.8823806869,945331.0686904443,12.389175053092117
2952,705444.1167909042,853623.8801987404,21.005173887041874
940,1117741.7573242227,1204233.291287982,7.738060549049582
1818,849656.9231925056,748900.8049795637,11.858447270029924
4310,325195.9428324207,423650.10687133204,30.275335904066473
3741,1364832.003419123,1187851.4254508172,12.967206038907422
4806,1095768.7333528611,1136165.8949993714,3.6866503320369413
1750,742858.6356339195,825843.5642557703,11.171025635454244
1565,909781.4667682184,930978.8876029523,2.329946433183856
3737,1004070.9982745504,949750.1823868221,5.41005725502242
2718,1124396.2490127091,1016574.5005433061,9.589301686489733
